Model,rmse,mae,coverage,sample_size,error_count,valid_predictions,Recall@5,Precision@5,HitRate@5,NDCG@5,F1@5,Recall@10,Precision@10,HitRate@10,NDCG@10,F1@10,Recall@20,Precision@20,HitRate@20,NDCG@20,F1@20,MAP,MRR,Coverage,Diversity,Novelty,User_Coverage,evaluation_time
SVD,0.0,0.0,0.0,1000,1000,0,0.018517902402414868,0.1299999999999999,0.48,0.1286215076143554,0.03241800851443738,0.029738675678517797,0.12599999999999986,0.71,0.12774676229722565,0.04812000768811088,0.029738675678517797,0.12599999999999986,0.71,0.08762028146547088,0.04812000768811088,0.013735495635404622,0.281626984126984,0.0010283833813245578,1.0,8.625062415971103,0.16393442622950818,0.200242280960083
DeepFM,0.7617573612498852,0.5108684569597244,1.0,1000,0,1000,0.0014386515256080473,0.01,0.05,0.011251739405390886,0.0025154215466522355,0.0017243658113223332,0.006,0.06,0.008035248198557322,0.002678846424587661,0.0017243658113223332,0.006,0.06,0.005838898716930553,0.002678846424587661,0.0012355985169649765,0.02926190476190476,0.016248457424928014,1.0,12.396470889166732,0.16393442622950818,714.6329221725464
DCNv2,0.49691332203777505,0.2592904634671286,1.0,1000,0,1000,0.0,0.0,0.0,0.0,0.0,1.8518518518518518e-05,0.001,0.01,0.0007839826897867532,3.636363636363636e-05,1.8518518518518518e-05,0.001,0.01,0.0005059568297461705,3.636363636363636e-05,3.0864197530864196e-06,0.0016666666666666666,0.029308926367749896,1.0,14.499421326328719,0.16393442622950818,140.6056489944458
AutoInt,0.5173177746948285,0.35450856959819793,1.0,1000,0,1000,0.005276662000971774,0.05000000000000002,0.2,0.05314248067777561,0.00954591288612726,0.0073974356348098635,0.041000000000000016,0.29,0.04597451552591824,0.01253350955681873,0.0073974356348098635,0.041000000000000016,0.29,0.03013725108799154,0.01253350955681873,0.002820728871626243,0.12184523809523809,0.04936240230357877,1.0,12.692612760441573,0.16393442622950818,1012.6406714916229
xDeepFM,0.4905666582266314,0.25555737024126574,1.0,1000,0,1000,0.0004356637305732949,0.008,0.04,0.009407305655719157,0.0008263273539353124,0.0008202791151886795,0.005,0.05,0.006799009898161795,0.0014093466979067516,0.0008202791151886795,0.005,0.05,0.004387858990129581,0.0014093466979067516,0.0003288123627942756,0.025250000000000005,0.049156725627313866,1.0,13.742228380051708,0.16393442622950818,131.9363112449646
Transformer4Rec,2.7518055034388462,2.5568365605917247,1.0,1000,0,1000,0.0001797546877202876,0.004,0.02,0.005087403079104242,0.0003440483016831382,0.00021843449656138678,0.004,0.04,0.0046318965958284915,0.00041424750672685125,0.00021843449656138678,0.004,0.04,0.0029892748243904674,0.00041424750672685125,0.0001027848185592304,0.015583333333333333,0.025915261209378856,1.0,12.067342723588572,0.16393442622950818,1.3407397270202637
DIN,0.5569921646167705,0.3350661697387695,1.0,1000,0,1000,0.00319909476185713,0.03200000000000001,0.13,0.030174806158208486,0.0058166855183083115,0.005839534892555104,0.02600000000000001,0.19,0.026724193444185265,0.009537068158739588,0.005839534892555104,0.02600000000000001,0.19,0.018263213097105525,0.009537068158739588,0.0023440366227176867,0.06345634920634921,0.05141916906622789,1.0,13.997945625116838,0.16393442622950818,726.2715930938721
